timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627273743229,962,Petición HTTP,200,OK,Grupo de Hilos 1-68,text,true,,1040,300,36,36,http://localhost:3000/pi?random_limit=48,962,0,1
1627273743226,972,Petición HTTP,200,OK,Grupo de Hilos 1-67,text,true,,1051,300,35,35,http://localhost:3000/pi?random_limit=48,972,0,5
1627273743231,973,Petición HTTP,200,OK,Grupo de Hilos 1-66,text,true,,1048,300,34,34,http://localhost:3000/pi?random_limit=48,973,0,2
1627273743236,974,Petición HTTP,200,OK,Grupo de Hilos 1-58,text,true,,1037,300,33,33,http://localhost:3000/pi?random_limit=48,974,0,2
1627273743236,982,Petición HTTP,200,OK,Grupo de Hilos 1-61,text,true,,1053,300,32,32,http://localhost:3000/pi?random_limit=48,982,0,3
1627273743242,993,Petición HTTP,200,OK,Grupo de Hilos 1-70,text,true,,1038,300,31,31,http://localhost:3000/pi?random_limit=48,993,0,3
1627273743244,1003,Petición HTTP,200,OK,Grupo de Hilos 1-71,text,true,,1057,300,30,30,http://localhost:3000/pi?random_limit=48,1003,0,2
1627273743248,1007,Petición HTTP,200,OK,Grupo de Hilos 1-72,text,true,,1036,300,29,29,http://localhost:3000/pi?random_limit=48,1006,0,2
1627273743254,1007,Petición HTTP,200,OK,Grupo de Hilos 1-73,text,true,,1056,300,28,28,http://localhost:3000/pi?random_limit=48,1007,0,3
1627273743266,1001,Petición HTTP,200,OK,Grupo de Hilos 1-74,text,true,,1048,300,27,27,http://localhost:3000/pi?random_limit=48,1001,0,4
1627273743274,996,Petición HTTP,200,OK,Grupo de Hilos 1-75,text,true,,1054,300,26,26,http://localhost:3000/pi?random_limit=48,996,0,4
1627273743287,987,Petición HTTP,200,OK,Grupo de Hilos 1-76,text,true,,1036,300,25,25,http://localhost:3000/pi?random_limit=48,987,0,5
1627273743298,982,Petición HTTP,200,OK,Grupo de Hilos 1-77,text,true,,1039,300,24,24,http://localhost:3000/pi?random_limit=48,982,0,3
1627273743311,973,Petición HTTP,200,OK,Grupo de Hilos 1-78,text,true,,1055,300,23,23,http://localhost:3000/pi?random_limit=48,973,0,2
1627273743319,970,Petición HTTP,200,OK,Grupo de Hilos 1-79,text,true,,1041,300,22,22,http://localhost:3000/pi?random_limit=48,970,0,5
1627273743325,975,Petición HTTP,200,OK,Grupo de Hilos 1-80,text,true,,1052,300,21,21,http://localhost:3000/pi?random_limit=48,975,0,4
1627273743335,982,Petición HTTP,200,OK,Grupo de Hilos 1-81,text,true,,1056,300,20,20,http://localhost:3000/pi?random_limit=48,982,0,3
1627273743355,969,Petición HTTP,200,OK,Grupo de Hilos 1-82,text,true,,1049,300,19,19,http://localhost:3000/pi?random_limit=48,969,0,2
1627273743357,973,Petición HTTP,200,OK,Grupo de Hilos 1-83,text,true,,1057,300,18,18,http://localhost:3000/pi?random_limit=48,973,0,2
1627273743365,994,Petición HTTP,200,OK,Grupo de Hilos 1-84,text,true,,1056,300,17,17,http://localhost:3000/pi?random_limit=48,994,0,2
1627273743373,1000,Petición HTTP,200,OK,Grupo de Hilos 1-85,text,true,,1054,300,16,16,http://localhost:3000/pi?random_limit=48,1000,0,2
1627273743391,990,Petición HTTP,200,OK,Grupo de Hilos 1-86,text,true,,1048,300,15,15,http://localhost:3000/pi?random_limit=48,990,0,4
1627273743396,989,Petición HTTP,200,OK,Grupo de Hilos 1-87,text,true,,1053,300,14,14,http://localhost:3000/pi?random_limit=48,989,0,3
1627273743403,991,Petición HTTP,200,OK,Grupo de Hilos 1-88,text,true,,1040,300,13,13,http://localhost:3000/pi?random_limit=48,991,0,10
1627273743417,983,Petición HTTP,200,OK,Grupo de Hilos 1-89,text,true,,1040,300,12,12,http://localhost:3000/pi?random_limit=48,983,0,2
1627273743422,983,Petición HTTP,200,OK,Grupo de Hilos 1-90,text,true,,1046,300,11,11,http://localhost:3000/pi?random_limit=48,983,0,3
1627273743433,976,Petición HTTP,200,OK,Grupo de Hilos 1-91,text,true,,1056,300,10,10,http://localhost:3000/pi?random_limit=48,975,0,14
1627273743482,934,Petición HTTP,200,OK,Grupo de Hilos 1-93,text,true,,1057,300,9,9,http://localhost:3000/pi?random_limit=48,934,0,4
1627273743456,964,Petición HTTP,200,OK,Grupo de Hilos 1-92,text,true,,1054,300,8,8,http://localhost:3000/pi?random_limit=48,964,0,32
1627273743490,933,Petición HTTP,200,OK,Grupo de Hilos 1-94,text,true,,1044,300,7,7,http://localhost:3000/pi?random_limit=48,933,0,4
1627273743502,925,Petición HTTP,200,OK,Grupo de Hilos 1-95,text,true,,1037,300,6,6,http://localhost:3000/pi?random_limit=48,925,0,7
1627273743521,921,Petición HTTP,200,OK,Grupo de Hilos 1-96,text,true,,1045,300,5,5,http://localhost:3000/pi?random_limit=48,921,0,2
1627273743538,908,Petición HTTP,200,OK,Grupo de Hilos 1-97,text,true,,1055,300,4,4,http://localhost:3000/pi?random_limit=48,908,0,2
1627273743552,903,Petición HTTP,200,OK,Grupo de Hilos 1-99,text,true,,1049,300,3,3,http://localhost:3000/pi?random_limit=48,903,0,2
1627273743553,909,Petición HTTP,200,OK,Grupo de Hilos 1-98,text,true,,1050,300,2,2,http://localhost:3000/pi?random_limit=48,909,0,3
1627273743557,909,Petición HTTP,200,OK,Grupo de Hilos 1-100,text,true,,1050,300,1,1,http://localhost:3000/pi?random_limit=48,909,0,2
